Name,type,ratings,latitude,longitude,place_id
Sueños Suaves Blancos y más,home_goods_store,1,-31.4491981,-60.933975,ChIJq8kAiGETtZURtJTet3wTgn4
El 10 Salón Masculino,hair_care,117,-31.4489177,-60.933552,ChIJrapqrT0TtZURki1WTvK1LgE
Amelia Joyas,jewelry_store,3,-31.4494142,-60.9334413,ChIJa2eOXjgTtZURMenV_dhl2RE
CPN Carlos Alberto Correa & Asociados,accounting,0,-31.449199,-60.9332856,ChIJ8crYqz0TtZURTScK9q0WQII
Ideas de temporada,clothing_store,22,-31.4492941,-60.9332777,ChIJh5BfqT0TtZURdWzDTjhnNuI
VALKIRIA,clothing_store,2,-31.4483058,-60.9334732,ChIJt9UGtT0TtZURcli32hcTZrM
Laboratorio Análisis Clínicos Del Negro Silvia,,0,-31.4482289,-60.9338564,ChIJkU6ZrPwTtZURwxiyBAA91vE
Club Bocha Esperancino,bar,20,-31.4484008,-60.9333693,ChIJCy0lAzwTtZURrJuvtny1dh8
Ortopedia Kinen Sucursal Esperanza,shoe_store,3,-31.4484361,-60.9332977,ChIJ2yABtD0TtZURiOoSwpHvaj8
Ortopedias,,0,-31.4484401,-60.9332795,ChIJoQIAtD0TtZUR5IoBa9RcKW0
Gimnasio Sol Gym,gym,24,-31.4487169,-60.9333612,ChIJixymWF4TtZURMjUFemBtokc
E.E.S.O.P.I. N°2027 "José Manuel Estrada" (Secretariado),secondary_school+school,4,-31.4481178,-60.9333911,ChIJl91zyj0TtZURnhpuhyw3ezg
EstoyCerca.com.ar,grocery_or_supermarket,2,-31.4472465,-60.9337799,ChIJ3RQTRooTtZURgS6UQQ-gzQ0
Ministerio de Desarrollo Social,,3,-31.4473703,-60.9333162,ChIJvaoi0j0TtZUR7JuZZ9Xv2w8
CSC RADIO FM 106.5,,28,-31.4463726,-60.9337527,ChIJvxEnwhcTtZURrn3HcAyHEpY
Fresh Radio 101.5,,1,-31.4463739,-60.9337524,ChIJ3QhH0UgTtZURjXYNx1QXbqQ
Cuello & Asociados,,3,-31.4463542,-60.9339158,ChIJgwcYhj4TtZUR_YV4NTkPvBA
JP PRODUCTOS,,5,-31.4454137,-60.9338864,ChIJMWCJuk4TtZUREyK0ENy9TbQ
Dionisiaindumentaria,clothing_store,0,-31.4457232,-60.9333813,ChIJvQuEaIETtZUR_mvqgEQizJw
Atilra Seccional Esperanza Sindicato Industria Lechera,,1,-31.4527886,-60.932886,ChIJBy1NAz0TtZURYzAFzn6ZCt4
Agencia Blümen - Comunicación,,1,-31.4533465,-60.9327881,ChIJhfpa6CITtZURv92WEr03njw
Antigüedades Le Petite Marie,,4,-31.4527047,-60.9330098,ChIJveJ07E4TtZURDMVLf3WeuUA
Kaná biocosmetica Artesanal y local,,0,-31.453355,-60.932669,ChIJGTxVuysTtZURdNzhxsyqwuM
Cf Estudio - de Adrian Fontanini,,5,-31.4534482,-60.9328158,ChIJWwDs6CITtZUR86OS4AloHos
Agrimaq,,5,-31.4519775,-60.9329224,ChIJX6FdV_0RtZURHItvux1mU4E
An,,0,-31.4519818,-60.933024,ChIJ95fL0iITtZURL3cTUTW28YI
Caja de Ingenieria / APCE,,0,-31.4523536,-60.9325425,ChIJ7_PUyCITtZURLNTCwDK72OA
Body Center,hospital,30,-31.4509538,-60.9329662,ChIJB7J1AhYTtZURyHrsAJ_a0Uk
Polifer3D,,0,-31.4509256,-60.932927,ChIJDWWR9IgTtZURH3UtDuZCWEk
La Mansión,night_club,0,-31.451162,-60.9327335,ChIJEf9fOj0TtZUROpOZysA9c_A
Zapateria Saliern,shoe_store,0,-31.451082,-60.9325221,ChIJ2-WOOT0TtZUR2Iedev_oawY
Ferreteria Dany,hardware_store,31,-31.450247,-60.9329283,ChIJDfb30xcTtZUR0WnkGOhMn6A
Agustina Calzados,shoe_store,4,-31.4502241,-60.9331758,ChIJ6WGq4GoTtZURkSmyav0hA-4
Valkirias: Casa de comidas,meal_delivery,3,-31.4503271,-60.9329011,ChIJYxrJQGITtZURjtXLUIx6OOc
trama bb,clothing_store,2,-31.4493188,-60.9327695,ChIJ0yUvCD0TtZUR6REeI4oqdFg
Modas Axel,clothing_store,5,-31.4498155,-60.9328253,ChIJQRL6hvoTtZURpvtnTpvOw3U
Passerino Jose Enrique,,0,-31.4497134,-60.9326977,ChIJ1a_lDj0TtZURfPAxDuMDw8c
Wapa,,0,-31.4492161,-60.9327737,ChIJVXOYpz0TtZURB6-K15_7oDc
SUMIAGRO,,11,-31.4488374,-60.932575,ChIJHcTcoz0TtZURgm755mnEktA
SUMIAGRO ESPERANZA -STIHL-HONDA-JOHN DEERE,home_goods_store,5,-31.4488664,-60.9325318,ChIJAazwoz0TtZUR6QEAFSRyCUo
Los Iriondo casa-bar,bar,1203,-31.4482002,-60.9327244,ChIJ5ySsuz0TtZURORQsjK1Qlww
Instituto Pilates Park Esperanza,gym,0,-31.4484385,-60.9327138,ChIJ66uvuz0TtZURoxqG5I0j3PQ
Martin House,liquor_store,163,-31.4481793,-60.9330924,ChIJzSKztz0TtZUROep-MpZ5nJM
Ferreteria Avenida Todo Para el Campo Industria y Hogar,hardware_store,0,-31.4483148,-60.9328682,ChIJ3cFKBT0TtZUR272F5np6mdY
Teodolina Calzados,shoe_store,6,-31.4483079,-60.9328274,ChIJFVDzuT0TtZURGwUWQnSC4do
Panaderia y Confiteria Avenida,bakery,42,-31.4483233,-60.9328324,ChIJE4l6_qkTtZURTkwf1cGO39Y
Oficinas Selta SA,,0,-31.4483487,-60.9327249,ChIJqwibynQTtZURKGNjrHLDlgQ
Tienda Jasfer,clothing_store,0,-31.4483529,-60.9327068,ChIJQRoI1tsTtZURtjZd36W6LDg
Arrumacos,clothing_store,0,-31.4483586,-60.9326123,ChIJPc3suz0TtZUR2tMqSuDUr1s
Monpal Maderas SRL,clothing_store,0,-31.4483741,-60.9326173,ChIJ3cFKBT0TtZUR6_ChqwB5Kew
La Fiambreria.esp,grocery_or_supermarket,10,-31.4474048,-60.9330951,ChIJkyGukaITtZUR2HQbBETaxzw
Desayunos V.T.,restaurant,0,-31.4474433,-60.9328547,ChIJC8RpxT0TtZURUB3qj0cPX_Q
Norma G Paneiva,,0,-31.4475366,-60.9325912,ChIJIQESxD0TtZURuGJtHdtC26s
Imprenta San Cayetano,,2,-31.4466092,-60.9326769,ChIJ3cFKBT0TtZURuTEnfU5kr80
YPF LEURINO NEGRO Y DONNET SRL,,1,-31.44664,-60.9325054,ChIJtZdPMGITtZURTDIepgQAzTI
Grido Delivery,shopping_mall,44,-31.4456083,-60.932626,ChIJnUpBaT4TtZURS-Atakqm9jY
Gimnasio Fénix,gym,35,-31.4454769,-60.9329889,ChIJn-3tZz4TtZURw8ohR8fViO0
Energía Salud Esperanza,,0,-31.45242,-60.932468,ChIJ-2y-yCITtZURA6NkB93Miu4
Escribania Portmann,,0,-31.452358,-60.9323268,ChIJ5UVQ6CITtZURzw1dByxIilo
Sociedad de Canto "Männer Gesangverein",museum,98,-31.4519489,-60.9321645,ChIJDfb30xcTtZUR_J2ReVgDobc
AZ Centro de Entrenamiento Fitness,gym,7,-31.4519289,-60.9324342,ChIJz0J2ZuATtZUR-w-DkmadGrE
Motomecanica Los Primos - Especialistas En Todas Las Marcas,car_repair,1,-31.4521051,-60.932365,ChIJSzQsyiITtZUR8Gb7Le6NGzk
Farmacia Eberhardt,pharmacy,5,-31.4521634,-60.9323558,ChIJPxCDySITtZUROEINZuc2PDQ
Debiaggi Automotores,car_dealer,10,-31.4517321,-60.9323703,ChIJDckkVhYTtZURk9elp0_eB3s
DENISE CIPOLATTI,accounting+real_estate_agency,0,-31.4521891,-60.9321065,ChIJjYq4YCETtZURpZN1D6ycd30
Verdulería Huerta Fecunda,grocery_or_supermarket,28,-31.4515335,-60.9323568,ChIJi-l_Q60TtZURRqgAB7nlAHc
Kiosco Los Niños,,2,-31.4522285,-60.9318666,ChIJvb0wtyITtZURNPFngEpM7MU
Aromas Articulos De Limpieza Productos Y Articulos Para Piletas,home_goods_store,13,-31.4515276,-60.9322008,ChIJ-RyLNT0TtZURuYBGiBjSApM
Austral Inmobiliaria,real_estate_agency,66,-31.4509747,-60.9319348,ChIJtULGRz0TtZURE8VttXtCUWA
Serafin Trod,,0,-31.4513123,-60.9322472,ChIJE3MxNj0TtZUR5VGBqpQOuHs
Pinturerías Mercurio | Sección Automotor e Industria,home_goods_store,84,-31.4511136,-60.9324687,ChIJ3cFKBT0TtZURDf2f5KbnyzQ
Senasa,,0,-31.4513071,-60.9320164,ChIJaTagST0TtZURdY0QM9lgkEg
Joyería Claddagh,jewelry_store,2,-31.4514322,-60.9320558,ChIJzybjST0TtZURrkH3JQHdQgo
Maria de Luna,home_goods_store,0,-31.4508548,-60.9321147,ChIJ8bS7adcTtZUR0Pf-Ab364cE
Digital Planet,,0,-31.450382,-60.9324914,ChIJpe6nFj0TtZUR_T0yeUm6xqE
San Antonio La Pizzeria,restaurant,182,-31.450446,-60.9318709,ChIJf0jgQz0TtZUR6pA_oZ-LEw4
Copias Centro,,1,-31.4504285,-60.9318655,ChIJpxGa5k4TtZURCS29L0kXHnw
Print Gráfica,,0,-31.4508259,-60.9319003,ChIJ5VwbchATtZURYA2FKy0Q2wA
Inmobiliaria Omega,real_estate_agency,49,-31.449562,-60.9322734,ChIJ3fVHCz0TtZURdjxQSyczpZI
D'Ricco,electronics_store+home_goods_store,102,-31.4499316,-60.931893,ChIJNXsgbD0TtZURkMjOnPSi_-k
Credife,,0,-31.449972,-60.9317547,ChIJh3i5bj0TtZUR0jiYMbuKxmY
