Name,type,ratings,latitude,longitude,place_id
Empresa Constructora Pilatti,,11,-31.4450792,-60.9311677,ChIJQzbBGD4TtZUR29oYIy1yAA0
Asociacion Suiza,,54,-31.4441964,-60.9308366,ChIJm1VsKD4TtZURShnKTxZSIo0
Ps Estudio Informatico SH - Equipos E Insumos,,28,-31.4431535,-60.9306608,ChIJ7cRjfhUTtZUR10BiC548oFY
ALECoL _ Asociación del Litoral de Entidades de Control Lechero,,10,-31.4561,-60.930362,ChIJ6ZHMrhgTtZURxtpgN-2X_LY
Ride Tuning Cars,,14,-31.4557747,-60.930451,ChIJSwWfLDwTtZURWy1revfTWd8
SADESA SA,,14,-31.4421254,-60.9302011,ChIJ1Ut-ZxUTtZUR5KJ0yVYaZB4
Uom Seccional Santa Fe Filial Esperanza,,5,-31.4558648,-60.9278571,ChIJBQOdAz0TtZURNZu1a8rjhF8
Carnes 2000 SA,,8,-31.4447747,-60.9292552,ChIJBy1NAz0TtZURbCLVTxsJLC8
Transportes Esperanza,,12,-31.4450886,-60.9281178,ChIJBw7G0xUTtZURgoAOl0Y_ZpI
Casa Aqueney,,115,-31.4450861,-60.9293135,ChIJcRS2whUTtZUR8EhLs0XGdro
TEMPY,,6,-31.442723,-60.928979,ChIJkeo9DBUTtZUROIN9CoAO97Q
Mutual del Club Atlético Juventud Unida Filial Esperanza,,27,-31.4437771,-60.9287822,ChIJq5OZ13oTtZURwGG0dJ1qwRg
Macdiseños,,6,-31.4429701,-60.9279328,ChIJ96HrqhUTtZURsJsdfxa04nA
radio FM106.9 "Aaron Castellanos",,18,-31.4558385,-60.926872,ChIJsYhXzB4TtZUR_IgqwuZlHcs
Marmoleria Nievas FN,,8,-31.4457375,-60.9262832,ChIJcbLNvBYTtZURUGCuDqIoj1Y
Union Obrera de la Construccion de la Rep Argentina,,8,-31.4439883,-60.9273535,ChIJ41AKNhQTtZURRShDNl4gof8
El Prestigio,,98,-31.4443567,-60.9267584,ChIJR0iOOxQTtZUR8k58qfCfu50
ESPERANZA REVESTIMIENTOS,,7,-31.4434199,-60.9268355,ChIJBQOdAz0TtZURwZ6ZuVn8ez0
Escuela Nº6401 Jorge Newbery,,18,-31.4564046,-60.9259534,ChIJkxf3ux4TtZURwOrrZaxbDKA
Laboratorio Diesel Bailetti,,17,-31.455721,-60.9252365,ChIJBy1NAz0TtZURByQ1Q-9lmu0
Dulce de Leche Bourquin,,17,-31.4585577,-60.9254047,ChIJV1V2eh4TtZURaZsbOWoerLs
El Sol,,5,-31.4565885,-60.9247663,ChIJjxlRIBwTtZURaeu33NMcb9A
El Ancla Maderas,,49,-31.4559693,-60.924252,ChIJBQOdAz0TtZURCBvGZdNFCKs
Omar Copes Techos y Ziguería,,8,-31.4558978,-60.9236996,ChIJBy1NAz0TtZURpaJyEPmUmUA
SyE Argentina,,13,-31.453847,-60.9246309,ChIJ5V0IRDATtZUR79j-Vq0eiis
Nito Express,,17,-31.4513748,-60.9237027,ChIJUYY9ORoTtZUR-vePBhoe0lU
Coop. Ltda. de Tamberos El Molino,,6,-31.4438309,-60.9246303,ChIJX6FdV_0RtZURI8xIgqoHncE
EXPRESO CARENA,,52,-31.4530327,-60.9235172,ChIJBQOdAz0TtZURtXPLMDbhpDI
Gye SRL - Suelos y Hormigones,,16,-31.4512188,-60.9230144,ChIJpXXhQxoTtZURZ4j9EpXblnU
Zequin pinturas,,11,-31.4517132,-60.92309,ChIJW7lzfLUTtZURkjGT9Q5frPE
APC Accesorios Para Celulares,,73,-31.4504394,-60.9234923,ChIJJ_19bBoTtZUR2KrBKlZbz5I
Obra Social del Personal del Papel - Cartón y Químicos,,5,-31.450708,-60.9228955,ChIJ4fszaBoTtZURInFn9TAWNjU
Heladeria Yampi,,427,-31.450677,-60.9224956,ChIJnf_sXRoTtZURP0oqYmjwp74
Palmieri Distribuciones,,7,-31.4490434,-60.9232741,ChIJBy1NAz0TtZURLx2Patbq6bo
Club del Encuenteo,,6,-31.4491771,-60.9223739,ChIJd5oqghATtZURN5h7VNRYK_4
Escuela Nº6403 Capitán de Fragata Ingeniero Carlos Gadda,,7,-31.4443463,-60.923226,ChIJczDaYRETtZURXTv0WZnmJbs
Kuchen Pio y Cia SRL Rectificacion de Motores,,6,-31.44498,-60.922252,ChIJX6FdV_0RtZURoh0RFC-TJwM
Fresquita,,89,-31.4567719,-60.9220755,ChIJnSfiVRwTtZURAPpKQcVabXE
Nautica Martin S.a.,,18,-31.456346,-60.92157,ChIJSXYKRxwTtZURoQn_crF7Q3E
PESCADERIA MARTA,,81,-31.4555205,-60.9213086,ChIJDfb30xcTtZUR4ahX1m_fttE
EL FORTIN FÚTBOL 5,,8,-31.4508691,-60.9210496,ChIJnW8S7xoTtZURHE4amVWoWRU
Grido Helado Express,,5,-31.4485421,-60.9216568,ChIJ0YWofBATtZURZDFok96dOBg
Velódromo - Club Ciclista Esperancino,,21,-31.4471013,-60.9206888,ChIJewCmRxATtZURPPeKtiC5kYU
Caba�as Los Amigos,,5,-31.45528,-60.920567,ChIJdfh8lRwTtZUR6Fh3FTKH0c8
LA TABITA,,7,-31.4542779,-60.9194667,ChIJp636-3wTtZURdIPwIgW8Q-8
Fábrica de Pastas Mayo,,102,-31.4517785,-60.9194081,ChIJQ4XCLRsTtZUR72j9ookyit4
Club San Lorenzo,,228,-31.4504216,-60.920198,ChIJJTLUwxoTtZURgD7j2qDO_L0
Club De Los Abuelos De Esperanza,,8,-31.4536144,-60.918948,ChIJ76fzqgQTtZURFAfZzfgIvFc
Ciudad De Los Niños,,80,-31.4468145,-60.9193356,ChIJx-TwJhATtZURkdo6ZbVwJpI
Rancho Carne,,6,-31.4449616,-60.9197862,ChIJ9bXQ3BETtZURY7Comd2VMdY
Minimercado oasis,,62,-31.4518361,-60.917721,ChIJrZDrwQQTtZURLRrU-v67ldM
Carnave,,11,-31.4517527,-60.918062,ChIJYXduxAQTtZURxbE7bJcKEao
CRISA S.A,,5,-31.4459849,-60.9160816,ChIJW_r7KBsTtZURoXZ7Pth2Vwg
Haizea SICA S.A. En formación,,10,-31.4366513,-60.9516362,ChIJ7UVvG00TtZURnLnFWwV_xkI
El secreto Club amistad,,64,-31.4344697,-60.9513072,ChIJlXWpi1ITtZURxV8_Yis0ESM
Plegados Esperanza SA,,6,-31.438505,-60.9471848,ChIJF6rzuUATtZURChNgVvsF3xA
Fav S.r.l.,,5,-31.437384,-60.9487609,ChIJDfb30xcTtZURywv8a_V31Wc
Tecno Copiers,,8,-31.4520823,-60.9449194,ChIJi8bM_jATtZURpNFMv4JVeX8
Fimaco Argentina,,8,-31.4387324,-60.9457997,ChIJX6FdV_0RtZURMUSfQZOChg8
Reser,,10,-31.4413646,-60.9460912,ChIJ_-kRTwYTtZURZEb20kH5ZWA
