Name,type,ratings,latitude,longitude,place_id
Panaderia y Confiteria Avenida,bakery,42,-31.4483233,-60.9328324,ChIJE4l6_qkTtZURTkwf1cGO39Y
Tienda Jasfer,clothing_store,0,-31.4483529,-60.9327068,ChIJQRoI1tsTtZURtjZd36W6LDg
Arrumacos,clothing_store,0,-31.4483586,-60.9326123,ChIJPc3suz0TtZUR2tMqSuDUr1s
Monpal Maderas SRL,clothing_store,0,-31.4483741,-60.9326173,ChIJ3cFKBT0TtZUR6_ChqwB5Kew
La Fiambreria.esp,grocery_or_supermarket,10,-31.4474048,-60.9330951,ChIJkyGukaITtZUR2HQbBETaxzw
Desayunos V.T.,restaurant,0,-31.4474433,-60.9328547,ChIJC8RpxT0TtZURUB3qj0cPX_Q
Grido Delivery,shopping_mall,44,-31.4456083,-60.932626,ChIJnUpBaT4TtZURS-Atakqm9jY
Gimnasio Fénix,gym,35,-31.4454769,-60.9329889,ChIJn-3tZz4TtZURw8ohR8fViO0
Sociedad de Canto "Männer Gesangverein",museum,98,-31.4519489,-60.9321645,ChIJDfb30xcTtZUR_J2ReVgDobc
AZ Centro de Entrenamiento Fitness,gym,7,-31.4519289,-60.9324342,ChIJz0J2ZuATtZUR-w-DkmadGrE
Motomecanica Los Primos - Especialistas En Todas Las Marcas,car_repair,1,-31.4521051,-60.932365,ChIJSzQsyiITtZUR8Gb7Le6NGzk
Farmacia Eberhardt,pharmacy,5,-31.4521634,-60.9323558,ChIJPxCDySITtZUROEINZuc2PDQ
Debiaggi Automotores,car_dealer,10,-31.4517321,-60.9323703,ChIJDckkVhYTtZURk9elp0_eB3s
DENISE CIPOLATTI,accounting+real_estate_agency,0,-31.4521891,-60.9321065,ChIJjYq4YCETtZURpZN1D6ycd30
Verdulería Huerta Fecunda,fruit_and_vegetable_store,28,-31.4515335,-60.9323568,ChIJi-l_Q60TtZURRqgAB7nlAHc
Kiosco Los Niños,kiosk,2,-31.4522285,-60.9318666,ChIJvb0wtyITtZURNPFngEpM7MU
Aromas Articulos De Limpieza Productos Y Articulos Para Piletas,home_goods_store,13,-31.4515276,-60.9322008,ChIJ-RyLNT0TtZURuYBGiBjSApM
Austral Inmobiliaria,real_estate_agency,66,-31.4509747,-60.9319348,ChIJtULGRz0TtZURE8VttXtCUWA
Pinturerías Mercurio | Sección Automotor e Industria,home_goods_store,84,-31.4511136,-60.9324687,ChIJ3cFKBT0TtZURDf2f5KbnyzQ
Joyería Claddagh,jewelry_store,2,-31.4514322,-60.9320558,ChIJzybjST0TtZURrkH3JQHdQgo
Maria de Luna,home_goods_store,0,-31.4508548,-60.9321147,ChIJ8bS7adcTtZUR0Pf-Ab364cE
San Antonio La Pizzeria,restaurant,182,-31.450446,-60.9318709,ChIJf0jgQz0TtZUR6pA_oZ-LEw4
Inmobiliaria Omega,real_estate_agency,49,-31.449562,-60.9322734,ChIJ3fVHCz0TtZURdjxQSyczpZI
D'Ricco,electronics_store+home_goods_store,102,-31.4499316,-60.931893,ChIJNXsgbD0TtZURkMjOnPSi_-k
Ferretería Esperanza,hardware_store,0,-31.4500682,-60.9319257,ChIJI8N4aT0TtZURUs2fZqGX9h8
TCE Classic,clothing_store,0,-31.4497811,-60.931843,ChIJ0URNbj0TtZURfAYDvOTOFjU
